cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,copy_player,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance,clique_4_distance,clique_5_distance
5.0,67.0,6.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.405915511004961,0.7770217241205892,0.6023542733530252,0.5834309601626603,0.6372613717114921,0.6293305380158561,0.6371320078439401
5.0,68.0,6.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.415771435660376,0.7265854279375267,0.6621761951399414,0.621634646562229,0.637749749789608,0.6283418960189671,0.6179459752045675
5.0,69.0,8.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.375413938077573,0.7605328714796388,0.6239943855853406,0.6194333256133946,0.583713680063942,0.6231955745891533,0.6145898389967036
5.0,70.0,7.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.43690636940521,0.7272528482042239,0.6519257001839643,0.5937362441338193,0.5829202742271304,0.6429188547421696,0.5888684461184828
5.0,71.0,8.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.3738932470923944,0.8225709279665161,0.6266955801402734,0.6252176896344445,0.630174590700835,0.5404072755105085,0.6171227508310849
5.0,72.0,7.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.3883511998985365,0.7695862439753384,0.6481390537318588,0.6320864323694713,0.6179226422394607,0.6260031122253585,0.6310902713329916
5.0,73.0,10.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.4440052734804643,0.8290951594604399,0.6145649764512593,0.5901512760512331,0.5801727284507385,0.6199205130054447,0.6198966516848542
5.0,74.0,6.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.37081632159243,0.7428006672391456,0.6108108796707479,0.602752417648423,0.5948620219935865,0.6313980974656336,0.6138788809210122
5.0,75.0,8.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.4133699940327094,0.7925976006248318,0.5988896351897883,0.6166445159231833,0.6146317594708197,0.6204884842413414,0.6264686485668365
5.0,76.0,8.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.419171973695427,0.7895461475570479,0.6128217138488191,0.6087161357651227,0.671584199874301,0.5890292609029839,0.5891011223493722
5.0,77.0,10.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.433334698462808,0.7431909792530387,0.5806536238216159,0.56763968492151,0.6061193738934241,0.5776293890995291,0.6722677583212718
5.0,78.0,6.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.389131701362386,0.7282210537202363,0.6413715555099267,0.6205522069757174,0.5973933105141398,0.6294458542694387,0.5882546348144817
5.0,79.0,5.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.3999317718672946,0.7618827059250728,0.5931299665326153,0.5817429736269789,0.6259589183564306,0.6406155395431211,0.5941957366479776
5.0,80.0,5.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.4187212986005893,0.7159050845583008,0.5785330286443501,0.5895205693640755,0.5990244352557782,0.6166180798588707,0.6140348507369044
5.0,81.0,10.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.4170573614737925,0.8048703261457063,0.6042762376384248,0.6018620357956588,0.6503787910208756,0.5901680014239329,0.6108137886041172
