cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance
2.0,65.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3265464824956195,0.6863230160891386,0.599492726848862,0.6219992342542021
2.0,66.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.454391005620515,0.6914695561115477,0.611957894787766,0.6186050462969223
2.0,67.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.443786026930185,0.6986858254374962,0.6335642533480654,0.6079164712960217
2.0,68.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4382510195162803,0.6577029425047486,0.5845376199090897,0.5871646047966841
2.0,69.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.447723416413443,0.6709506895503754,0.6146154517641882,0.615423137456304
2.0,70.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3658289679430595,0.6977151457254062,0.5907447594309798,0.6341428121872132
2.0,71.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.399203126647651,0.6479169443215774,0.6166997243515387,0.6036262347297376
2.0,72.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.305879795701298,0.7060467921633443,0.6123747688889067,0.6314733875731857
2.0,73.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4566756465631703,0.6647566418301758,0.6134269346958661,0.6047342839795645
2.0,74.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.28546606030195,0.6574311862368319,0.6207064493003894,0.5827504524127232
2.0,75.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4114670602399992,0.680940917637367,0.607691255170402,0.6194615591731254
2.0,76.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.414663022588214,0.64242412820163,0.5960062952614723,0.5960512340401358
2.0,77.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4835469347299424,0.6866124779157875,0.6160844327270061,0.5891119342430737
2.0,78.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4120541510685327,0.7148495554943323,0.6422570591970298,0.6179905067423789
2.0,79.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.411984786011358,0.6899845465449694,0.6253164940393996,0.5940981795740102
2.0,80.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.432543405926308,0.6907384610394942,0.6125211671820314,0.6252279950651063
2.0,81.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4593204782652958,0.69664084983939,0.6003868073042463,0.6066002315532256
2.0,82.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3617868162635602,0.6912220940896169,0.6170606090139301,0.6120317520827073
2.0,83.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3879090042216857,0.72329377632173,0.6371995754847513,0.6093834597120361
2.0,84.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.344569609502045,0.6850265265207562,0.5922936948969442,0.6180011498081064
2.0,85.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4435552437154655,0.6776287156777636,0.6331342772609337,0.6132661694388635
2.0,86.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3329732354989696,0.6690594460934407,0.6013287219120915,0.6111507705634238
