cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance,clique_4_distance
4.0,50.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4222229516788687,0.7624608923658126,0.6032054535562695,0.5856623599946956,0.6461959515378274,0.6202888527287567
4.0,51.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4541484791327624,0.7317872989298301,0.5817394257183882,0.6671166883906181,0.6170717037671221,0.58678599342584
4.0,52.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.345382746642376,0.7432112421298873,0.6368667773900066,0.6136675976369005,0.6559166220392354,0.6098688043888774
4.0,53.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3921486086793102,0.7616559048461471,0.6232906279638833,0.6109696704827701,0.6430817758143544,0.6046901045856994
4.0,54.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3081756713274846,0.7474965958201312,0.6303176625515928,0.6106841055248202,0.6123369956196534,0.6279476602232751
4.0,55.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.396720788780989,0.7445302816819359,0.6667071930932503,0.6518277576064679,0.5748085374421513,0.6195668722508937
4.0,56.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.436341377539588,0.7564438458860628,0.6077720337034057,0.6285049735339534,0.6181906481780671,0.5961076367633745
4.0,57.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.460488093585118,0.7743569732418375,0.5780337741204631,0.6214536406945268,0.57989349095572,0.6324182240470905
4.0,58.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4484234491351398,0.7301458272178258,0.6320353731570483,0.647837311908285,0.5672623260899319,0.5712044467592813
4.0,59.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.372958888192438,0.7624001117143961,0.5916220931068717,0.6334530942187301,0.6280896410987589,0.6062681719232664
4.0,60.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.455750491625373,0.7380441072602103,0.6064399796852815,0.6322162947455024,0.5902061741084571,0.616829068969316
4.0,61.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3508784648245893,0.77772462664391,0.6465783086623799,0.6350791203437338,0.5856054172587541,0.5971675248308671
4.0,62.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.408308671158047,0.7360422194822993,0.6092496969150282,0.6201930391681597,0.6143803347098924,0.61837139502758
4.0,63.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.408569909715183,0.7789776615257137,0.6161543692223371,0.6321072087050503,0.6063471942223909,0.5967836421150783
4.0,64.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3639641671774454,0.7286854490413128,0.6182354839313499,0.6109627688915197,0.6222774033655518,0.6292498832256013
4.0,65.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.375754629562398,0.7423465179744793,0.6305610819309757,0.6109408833945646,0.5771571204269315,0.6375726435939674
4.0,66.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.432870670886396,0.761364137851752,0.6218388568734569,0.6509442519075872,0.6246187541213287,0.6130219057053796
4.0,67.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3689153774127756,0.74336244096048,0.6377169254078515,0.5850284202161377,0.6130505034833378,0.6272442079646606
4.0,68.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3045718457765445,0.7779615020394081,0.5847152375316682,0.608767727543753,0.6211257910313766,0.6308202804111885
4.0,69.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.361250477964088,0.7500684588326914,0.6247350287277016,0.628351638266047,0.5830663234279917,0.6116454602813556
4.0,70.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3811966847913477,0.7475070081753167,0.6065619293370728,0.6062988768814499,0.6237264621826765,0.6113736098125024
4.0,71.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3698644292004096,0.7646239840149437,0.6371743591072556,0.6073956719661662,0.6451781875734939,0.6459623895741559
4.0,72.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3934587859556538,0.7440942176460039,0.6273588205327693,0.617054246058593,0.5794977835800187,0.6315690908460014
4.0,73.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.401407165533548,0.7538561406725627,0.6382882716599866,0.5840508726490209,0.5667168483979721,0.6093871708975888
4.0,74.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.424025437592163,0.7275963472643563,0.6185612973291922,0.5895293903882324,0.6163237765704042,0.6459810984807903
4.0,75.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4022258042101585,0.7601400833212069,0.6478576604009166,0.5896559942860095,0.6211792678918954,0.6305538284347953
4.0,76.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.417759192801845,0.7595232283642269,0.6299632748946282,0.6210621902736,0.6217718546574347,0.6085277994689134
4.0,77.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.520156604260807,0.758809589449892,0.6037959794465059,0.642139322808526,0.6181809522845144,0.6160380827145938
4.0,78.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4374808072879275,0.7753424247449959,0.5971302836374043,0.6363736672477768,0.6408607255799106,0.6224835464146758
4.0,79.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4152144730593768,0.7631216628169548,0.6188072549824548,0.6532390068684655,0.6030684047844037,0.6236197672701352
4.0,80.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.353289532878447,0.7623357616924197,0.6214035473744405,0.6000955764644369,0.6205937406541097,0.6185927842665232
4.0,81.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3766816608646826,0.7942093880634195,0.6352997960185678,0.6176188007447229,0.6076500403128243,0.5865189552421235
4.0,82.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.412646021033464,0.7440960449724334,0.6300672151541931,0.6128174284228379,0.6389554445309249,0.5728554360663739
4.0,83.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4707762505531057,0.7552607008935744,0.6465010951672794,0.6098136677371758,0.594449943938684,0.5931154549911836
4.0,84.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.414611134579465,0.7818982354203017,0.618736725811355,0.6265127427309436,0.621071408422809,0.6136776160373543
4.0,85.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.382208245128452,0.7702493646019702,0.6714133799808014,0.6084423657651397,0.5761219233586446,0.5952991864914657
4.0,86.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.325590451015492,0.7449455585042659,0.6492695639272668,0.6211229021466514,0.6140295247690464,0.607423173053339
4.0,87.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.407718163858717,0.7727339663347751,0.6274767582652981,0.6243820139264138,0.548859555272168,0.6225295912171015
4.0,88.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3960388278404707,0.7520215814935435,0.645516132811339,0.5915101579196853,0.6102651047522568,0.5713860381351098
4.0,89.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.316828532500152,0.7376733893956575,0.6241201020367012,0.6343334228643139,0.5890226674089614,0.5574211810488426
4.0,90.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.38969776205131,0.7641552296714973,0.6038315366275552,0.5687636588819793,0.6335819982209,0.627244434772471
4.0,91.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.400949934897896,0.786909941464149,0.6640224431497127,0.6097656701549786,0.6002682441829241,0.6234664489837929
4.0,92.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.455879189465305,0.7385991442091323,0.6527710208284063,0.5752525075627318,0.6176154969689662,0.5870547091357631
4.0,93.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3567034910535267,0.7200748132380259,0.6231592220453287,0.5932251826752031,0.6338661344718263,0.5746418754340902
4.0,94.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4153088853213194,0.7872154786418867,0.5936634440615349,0.650997811232962,0.6251629624358958,0.6073230904892171
4.0,95.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3628479046687287,0.7529860213961946,0.618644155877954,0.6043958288306805,0.6192560616572431,0.6132031583813051
4.0,96.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.463627327571569,0.7607682722512833,0.6402482030046271,0.6123156322300911,0.6051407027737727,0.6254366423792372
4.0,97.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3556945946157413,0.7578746693898645,0.6254583334009283,0.6105144266385268,0.6097903586033507,0.6253263456747206
4.0,98.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4054192302371273,0.7442505463787025,0.6235340036639081,0.6345803452292035,0.6205383694035276,0.628187211067775
4.0,99.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4578417980036127,0.7785893242259527,0.5823095211383182,0.6313433353320488,0.6096005832298916,0.6196523330273067
4.0,100.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4129139688893684,0.7604288548917193,0.6565206211891412,0.5943637591650776,0.5914340859499378,0.5947377042156965
4.0,101.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.402851083421438,0.7785333388277872,0.6218377278670487,0.6269454919664366,0.6454774419802901,0.6302762411034287
4.0,102.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.366224348638272,0.7236293941305872,0.5741773779170161,0.5721552156241531,0.6041789608784481,0.6424643705866196
4.0,103.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.428307495311487,0.8049973566680647,0.6286889206838835,0.6309637696792688,0.5750906108076536,0.6470358535424775
4.0,104.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.464666311210781,0.766107765750234,0.624807379600183,0.6193704290015398,0.6438246939190501,0.6197530496422651
4.0,105.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4471008618276553,0.7801507773899756,0.6377752685880463,0.6109692612121583,0.5822062662869966,0.6314037458375302
4.0,106.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.421576042314539,0.7126705887275878,0.5547510841430381,0.6079761977986748,0.5928094584944644,0.6022563700513264
4.0,107.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.360178052478257,0.7726160119884664,0.6027747644899132,0.6207138574996368,0.6296471185846463,0.6380669845096811
4.0,108.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4268881544623473,0.7333619708810952,0.6114248460983441,0.6388020022255564,0.5635110109880199,0.5837669913360047
4.0,109.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4432737351030855,0.7680520285265822,0.6400874002785011,0.5962593773989121,0.6061832675892614,0.5801558675539599
4.0,110.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.364903203787229,0.7647279435383427,0.6135543255333604,0.6034538971429904,0.5980219198691986,0.6514236402087883
4.0,111.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.422298980319761,0.7536870482380966,0.5976886345738425,0.5916219578267352,0.5719104438986593,0.640378036980534
4.0,112.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4526728595352765,0.7473917423250727,0.6156057285789773,0.6026749047890081,0.6314800034970209,0.6389056569369645
4.0,113.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3335203128567996,0.7527211305455066,0.6161797698738898,0.6507625105307898,0.6095748098811321,0.647557650433766
