cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance
3.0,17.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.434399813854846,0.7126355852831737,0.6035945469565472,0.6266015809991295,0.6074543820822107
3.0,18.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.37592344797512,0.7411813352212506,0.6421704076408652,0.6409021267215133,0.6196281453311805
3.0,19.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4427961163652734,0.7159762070991302,0.6369005462085264,0.5858058297104602,0.6119303559269026
3.0,20.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3798412228601915,0.688700295935393,0.62110608371642,0.626396289286199,0.620079446948563
3.0,21.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3912275407056462,0.7168338995684786,0.5783219911175983,0.6277163016771546,0.5977204214177625
3.0,22.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.446454359946829,0.7569631468296526,0.6279568019740515,0.6009553063705021,0.6432743078200057
3.0,23.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.390375358744924,0.708716512054182,0.6306249648712245,0.5659042795853348,0.5907704568000465
3.0,24.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.440961298755373,0.6969202202825663,0.6220062772721329,0.621432765956479,0.5966379505740447
3.0,25.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3923976862121434,0.7357583827037483,0.6130540840753518,0.6045770510757114,0.6123475584114776
3.0,26.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4401847496669906,0.7405956466201168,0.604368992530606,0.6374102935530278,0.589665311673511
3.0,27.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4032903370779675,0.7304037226608274,0.5884314975403875,0.5910059134459539,0.6307758138412592
3.0,28.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4226822125328393,0.7195244447341923,0.5913112423613711,0.6047909365719998,0.6669628431186057
3.0,29.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.402556474254971,0.7120300047104364,0.6099255362095263,0.6069641836047822,0.5991249152374649
3.0,30.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3856748213551318,0.7602763048949813,0.605844454022239,0.5920114155261414,0.6194386323239851
3.0,31.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.373566905524868,0.7102129190816605,0.6069640916655707,0.6117829596654233,0.5934260099996606
3.0,32.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3977876127815363,0.7148043678953923,0.5702232679324991,0.6198622096028098,0.616291552501916
3.0,33.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.38764323656857,0.7182815585109794,0.595228181232801,0.5741138518790481,0.6112052278606522
3.0,34.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4433859504682114,0.7372885173883673,0.5997396806462448,0.5878475361475387,0.635578835246274
3.0,35.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.407993889435758,0.7323591435005049,0.5951222279326122,0.602070411668816,0.6373261487876236
3.0,36.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3703733400855187,0.7462533034583626,0.643478960884878,0.6255680605536246,0.61059763851682
3.0,37.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.397058015472714,0.7734567383086246,0.6029569568092316,0.6344783409965409,0.6051308641883031
3.0,38.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3957557470032502,0.6941784419965745,0.5740933550229708,0.6127834718173154,0.6012507091143957
3.0,39.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.445640918997825,0.7531265456972137,0.5675295846255815,0.6121589493868368,0.6346218824581281
3.0,40.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.424997423822917,0.697436673567398,0.6312347999794666,0.5705758507811616,0.6201661576621195
3.0,41.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.375617815978778,0.7252480428045478,0.6093728346117727,0.6029413302659455,0.6278547896967791
3.0,42.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.394619231964885,0.7110318218930303,0.6215015788238195,0.6004966639221279,0.6264534862642857
3.0,43.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.358667873361117,0.7362662247076859,0.5654151695527123,0.598872413159722,0.6367810469692986
3.0,44.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4066584923973022,0.7136405434064541,0.5899243653106019,0.5826573041318988,0.6173585307336357
3.0,45.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4406087932298832,0.7343469058108284,0.6063163520151539,0.6185850142517798,0.5987944654455807
3.0,46.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4306634062579002,0.7102442227626578,0.5948577406620166,0.5924420544037815,0.6146930947644
3.0,47.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.41560726501059,0.7283071551864844,0.6183087570182261,0.6528423649263975,0.6008069267234368
3.0,48.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3501494494679296,0.7216717361880806,0.6164340235632695,0.5996257381616924,0.610476769632861
3.0,49.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.412177680866867,0.7501418927043149,0.6196288356557875,0.6011988582005455,0.6175546159600647
3.0,50.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4061961542396957,0.7455108077718766,0.6188776738696193,0.6379968774901571,0.6168945297566765
3.0,51.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3791323740642802,0.7423151706331002,0.5915956625337716,0.5762952289064699,0.6066498634527695
3.0,52.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4211790032020604,0.7215874772804275,0.5884021044224171,0.602287654215104,0.6129443924504182
3.0,53.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4217137843651653,0.69757023862985,0.6007575433190919,0.6350425652375925,0.6185813400918528
3.0,54.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3763124959398505,0.7404525033866537,0.6280552008029602,0.5825865294717621,0.6214484756493717
3.0,55.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.38741520938989,0.7712187244239933,0.6345962833375393,0.614526595700493,0.622889700794449
3.0,56.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.381534179036676,0.7332282864389192,0.6261936029770652,0.5938565841696215,0.6320118776691562
3.0,57.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3831510941181975,0.7394361277473677,0.6106698398902013,0.5979063509127026,0.6152311074254522
3.0,58.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3175683166372543,0.7341835670866396,0.6364759585787995,0.6049174070690663,0.6137827892394154
3.0,59.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4562174343551297,0.7368955867238417,0.6036013582959574,0.5969763277431342,0.6066371879692934
3.0,60.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4215210288811133,0.7109599207671456,0.5812893388813523,0.606812799427329,0.6295014264450681
3.0,61.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.373004885582084,0.70770631193108,0.5826781842722802,0.6061611866749675,0.570148636009682
3.0,62.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3631769772688744,0.7553529244612288,0.6214019471982545,0.623405858027048,0.6023019884558832
3.0,63.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3557910086783154,0.7347907674011398,0.5984068621802621,0.6355751044451688,0.6542416252599804
3.0,64.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.409663003769844,0.6826347482028117,0.6057682446204318,0.6010777972649904,0.5501030101717884
3.0,65.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.45408201883111,0.7200667946765416,0.6136814197498968,0.5754106540776702,0.6187821559062716
3.0,66.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3797601864682343,0.7245196182316771,0.6224477578536742,0.6060688955066876,0.590924599645202
3.0,67.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.38256023839039,0.7359031873205445,0.6076714704839811,0.6080922966844772,0.5924233443374174
3.0,68.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.374786157402521,0.6984513767065023,0.6267300158869371,0.6040207365618109,0.6137377999425029
3.0,69.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.35158049293542,0.7106362772443198,0.5726737307697606,0.5998032383071991,0.5866749253759034
3.0,70.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3988361856722156,0.7153523148106173,0.6424622059346454,0.6322606159583334,0.5933065815888943
3.0,71.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.415853335380955,0.7027130514133265,0.5764788571586384,0.5876975445309176,0.6395192185246598
3.0,72.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4437360720565264,0.6980534859140063,0.5768266986483408,0.5849723640183349,0.5819263297602942
3.0,73.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4542770247547305,0.7331419255918569,0.6008827263497096,0.6280426145729783,0.625051016698783
3.0,74.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.5045198102056734,0.737918840055076,0.591386365992187,0.6087779091048227,0.6137738026825982
3.0,75.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4150915023550312,0.7384858703642712,0.6104640917274027,0.5985741280355119,0.5878162139966775
