Update,Adaptive Player 1 ,Adaptive Player 2,Nonadaptive Player 1,Nonadaptive Player 2,,,
2745,0.569779533,0.557528413,0.564416451,0.540302043,,,
2752,0.569779533,0.567576384,0.564416451,0.540302043,,,
2797,0.569779533,0.576623502,0.56441645,0.540302043,,,
2810,0.538557736,0.576623502,0.56441645,0.540302043,,,
2822,0.57848685,0.576623502,0.56441645,0.540302043,,,
2834,0.57848685,0.591807759,0.56441645,0.540302043,,,
2837,0.57848685,0.54632103,0.56441645,0.540302043,,,
2870,0.572861497,0.54632103,0.56441645,0.540302043,,,
2879,0.606586525,0.54632103,0.56441645,0.540302043,,,
2912,0.606586525,0.569642229,0.56441645,0.540302043,,,
2916,0.606586525,0.556924821,0.56441645,0.540302043,,,
2922,0.606586525,0.569010985,0.56441645,0.540302043,,,
2951,0.606586525,0.605203362,0.56441645,0.540302043,,,
2961,0.606586525,0.565579987,0.56441645,0.540302043,,,
2976,0.585532809,0.565579987,0.56441645,0.540302043,,,
2982,0.575472163,0.565579987,0.56441645,0.540302043,,,
3014,0.544819383,0.565579987,0.56441645,0.540302043,,,
3049,0.544819383,0.55706885,0.56441645,0.540302043,,,
3064,0.586637489,0.55706885,0.56441645,0.540302043,,,
3116,0.586637489,0.576585091,0.56441645,0.540302043,,,
3158,0.586637489,0.61333901,0.56441645,0.540302043,,,
3193,0.623186979,0.61333901,0.56441645,0.540302043,,,
3217,0.623186979,0.619732846,0.56441645,0.540302043,,,
3224,0.634812368,0.619732846,0.56441645,0.540302043,,,
3236,0.634812368,0.640054181,0.56441645,0.540302043,,,
3238,0.649451109,0.640054181,0.56441645,0.540302043,,,
3255,0.649451109,0.664297006,0.56441645,0.540302043,,,
3259,0.664261238,0.664297006,0.56441645,0.540302043,,,
3261,0.643080226,0.664297006,0.56441645,0.540302043,,,
3277,0.643080226,0.655356361,0.56441645,0.540302043,,,
3281,0.669112653,0.655356361,0.56441645,0.540302043,,,
3294,0.669112653,0.629745614,0.56441645,0.540302043,,,
3311,0.644688252,0.629745614,0.56441645,0.540302043,,,
3330,0.628371028,0.629745614,0.56441645,0.540302043,,,
3344,0.602016812,0.629745614,0.56441645,0.540302043,,,
3346,0.626890058,0.629745614,0.56441645,0.540302043,,,
3354,0.614519552,0.629745614,0.56441645,0.540302043,,,
3355,0.614519552,0.629977401,0.56441645,0.540302043,,,
3374,0.598757456,0.629977401,0.56441645,0.540302043,,,
3389,0.598757456,0.601632728,0.56441645,0.540302043,,,
3464,0.598757456,0.627123881,0.56441645,0.540302043,,,
3470,0.621517357,0.627123881,0.56441645,0.540302043,,,
3480,0.599115297,0.627123881,0.56441645,0.540302043,,,
3495,0.633744612,0.627123881,0.56441645,0.540302043,,,
3577,0.633744612,0.635583939,0.56441645,0.540302043,,,
3580,0.637752555,0.635583939,0.56441645,0.540302043,,,
3581,0.637752555,0.651270614,0.56441645,0.540302043,,,
3593,0.664010595,0.651270614,0.56441645,0.540302043,,,
3604,0.647279359,0.651270614,0.56441645,0.540302043,,,
3609,0.621662589,0.651270614,0.56441645,0.540302043,,,
3658,0.628530354,0.651270614,0.56441645,0.540302043,,,
3668,0.628530354,0.640438186,0.56441645,0.540302043,,,
3703,0.603014633,0.640438186,0.56441645,0.540302043,,,
3708,0.603014633,0.676199861,0.56441645,0.540302043,,,
